2025-07-19 12:45:18,285 - __main__ - INFO - Starting PDF Outline Extractor
2025-07-19 12:45:18,286 - __main__ - INFO - Found 1 PDF files to process.
2025-07-19 12:45:18,287 - __main__ - INFO - Processing file: sample.pdf
2025-07-19 12:45:18,287 - extractor.pdf_parser - DEBUG - Starting to parse PDF: C:\Users\shrav\Downloads\project-bolt-sb1-uu5dcyx9\project\input\sample.pdf
2025-07-19 12:45:18,290 - extractor.pdf_parser - DEBUG - PDF has 17 pages
2025-07-19 12:45:18,437 - pdfminer.psparser - DEBUG - seek: 0
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b''
2025-07-19 12:45:18,438 - pdfminer.pdfdocument - DEBUG - find_xref: b'%%EOF'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'5179464'
2025-07-19 12:45:18,440 - pdfminer.pdfdocument - DEBUG - find_xref: b'startxref'
2025-07-19 12:45:18,520 - pdfminer.psparser - DEBUG - nextline: 5181255, b'0000380011 00000 n \n'
2025-07-19 12:45:18,522 - pdfminer.psparser - DEBUG - nextline: 5181275, b'0000393003 00000 n \n'
2025-07-19 12:45:18,523 - pdfminer.psparser - DEBUG - nextline: 5181295, b'0000393062 00000 n \n'
2025-07-19 12:45:18,524 - pdfminer.psparser - DEBUG - nextline: 5181315, b'0000393120 00000 n \n'
2025-07-19 12:45:18,525 - pdfminer.psparser - DEBUG - nextline: 5181335, b'0000393180 00000 n \n'
2025-07-19 12:45:18,526 - pdfminer.psparser - DEBUG - nextline: 5181355, b'0001698135 00000 n \n'
2025-07-19 12:45:18,526 - pdfminer.psparser - DEBUG - nextline: 5181375, b'0001708738 00000 n \n'
2025-07-19 12:45:18,527 - pdfminer.psparser - DEBUG - nextline: 5181395, b'0001700087 00000 n \n'
2025-07-19 12:45:18,528 - pdfminer.psparser - DEBUG - nextline: 5181415, b'0001699104 00000 n \n'
2025-07-19 12:45:18,529 - pdfminer.psparser - DEBUG - nextline: 5181435, b'0001698922 00000 n \n'
2025-07-19 12:45:18,530 - pdfminer.psparser - DEBUG - nextline: 5181455, b'0001700026 00000 n \n'
2025-07-19 12:45:18,531 - pdfminer.psparser - DEBUG - nextline: 5181475, b'0001708798 00000 n \n'
